cpi_id,cpi_value,sector_id,year,base_year,period_category
1,95.79,1,2018,2019,
2,100.001,1,2019,2019,
3,106.958,1,2020,2019,
4,106.993,1,2021,2019,
5,109.329,1,2022,2019,
6,112.652,1,2023,2019,
7,120.367,1,2024,2019,
8,95.778,1,2018,2019,
9,100.001,1,2019,2019,
10,106.964,1,2020,2019,
11,106.998,1,2021,2019,
12,109.323,1,2022,2019,
13,112.668,1,2023,2019,
14,120.381,1,2024,2019,
15,95.785,1,2018,2019,
16,100,1,2019,2019,
17,106.961,1,2020,2019,
18,106.996,1,2021,2019,
19,109.326,1,2022,2019,
20,112.661,1,2023,2019,
21,120.374,1,2024,2019,
22,98.27,1,2018,2019,
23,100,1,2019,2019,
24,100.696,1,2020,2019,
25,115.277,1,2021,2019,
26,142.588,1,2022,2019,
27,158.794,1,2023,2019,
28,156.217,1,2024,2019,
29,103.944,1,2018,2019,
30,100,1,2019,2019,
31,101.825,1,2020,2019,
32,115.202,1,2021,2019,
33,143.294,1,2022,2019,
34,160.819,1,2023,2019,
35,164.319,1,2024,2019,
36,100.597,1,2018,2019,
37,100,1,2019,2019,
38,101.39,1,2020,2019,
39,115.936,1,2021,2019,
40,145.801,1,2022,2019,
41,163.245,1,2023,2019,
42,162.56,1,2024,2019,
43,100,1,2018,2019,
44,100,1,2019,2019,
45,99.115,1,2020,2019,
46,103.522,1,2021,2019,
47,117.927,1,2022,2019,
48,121.749,1,2023,2019,
49,130.65,1,2024,2019,
50,100,1,2018,2019,
51,100,1,2019,2019,
52,99.248,1,2020,2019,
53,103.32,1,2021,2019,
54,117.163,1,2022,2019,
55,120.88,1,2023,2019,
56,129.924,1,2024,2019,
57,100,1,2018,2019,
58,100,1,2019,2019,
59,98.976,1,2020,2019,
60,103.732,1,2021,2019,
61,118.727,1,2022,2019,
62,122.659,1,2023,2019,
63,131.41,1,2024,2019,
64,98.889,1,2018,2019,
65,100,1,2019,2019,
66,98.609,1,2020,2019,
67,110.206,1,2021,2019,
68,131.638,1,2022,2019,
69,143.047,1,2023,2019,
70,142.353,1,2024,2019,
71,101.764,1,2018,2019,
72,100,1,2019,2019,
73,98.321,1,2020,2019,
74,108.323,1,2021,2019,
75,127.932,1,2022,2019,
76,137.619,1,2023,2019,
77,140.84,1,2024,2019,
78,100.536,1,2018,2019,
79,100,1,2019,2019,
80,98.627,1,2020,2019,
81,109.587,1,2021,2019,
82,130.464,1,2022,2019,
83,140.282,1,2023,2019,
84,140.947,1,2024,2019,
85,98.359,1,2018,2019,
86,100,1,2019,2019,
87,102.002,1,2020,2019,
88,104.193,1,2021,2019,
89,112.73,1,2022,2019,
90,116.607,1,2023,2019,
91,124.57,1,2024,2019,
92,96.787,1,2018,2019,
93,100,1,2019,2019,
94,104.03,1,2020,2019,
95,105.18,1,2021,2019,
96,111.093,1,2022,2019,
97,114.412,1,2023,2019,
98,122.368,1,2024,2019,
99,97.372,1,2018,2019,
100,100,1,2019,2019,
101,103.451,1,2020,2019,
102,105.214,1,2021,2019,
103,112.438,1,2022,2019,
104,116.15,1,2023,2019,
105,124.018,1,2024,2019,
106,98.882,1,2018,2019,
107,100,1,2019,2019,
108,98.841,1,2020,2019,
109,108.586,1,2021,2019,
110,127.404,1,2022,2019,
111,136.516,1,2023,2019,
112,136.528,1,2024,2019,
113,99.324,1,2018,2019,
114,100,1,2019,2019,
115,100.028,1,2020,2019,
116,106.488,1,2021,2019,
117,121.072,1,2022,2019,
118,127.32,1,2023,2019,
119,131.401,1,2024,2019,
120,99.601,1,2018,2019,
121,100,1,2019,2019,
122,99.576,1,2020,2019,
123,107.64,1,2021,2019,
124,124.674,1,2022,2019,
125,131.653,1,2023,2019,
126,133.657,1,2024,2019,
