data_series,2019_1H,2019_2H,2020_1H,2020_2H,2021_1H,2021_2H,2022_1H,2022_2H,2023_1H,2023_2H,2024_1H,2024_2H,period,income_group,data_source
Accommodation,99.855,100.145,100.247,100.564,101.125,102.925,105.027,108.051,110.195,112.791,113.801,115.798,Annual,All,sg_singstat
Alcoholic Drinks & Tobacco,100.189,99.812,99.164,99.051,99.017,98.85,99.883,100.61,109.256,111.858,113.715,113.269,Annual,All,sg_singstat
All Items,99.918,100.082,99.783,99.939,101.132,102.671,106.09,109.633,112.005,113.902,115.285,116.199,Annual,All,sg_singstat
All Items Less Accommodation,99.935,100.065,99.656,99.768,101.134,102.602,106.381,110.066,112.501,114.206,115.691,116.308,Annual,All,sg_singstat
All Items Less Imputed Rentals On Owner-Occupied Accommodation,99.91,100.091,99.667,99.805,101.075,102.567,106.173,109.816,112.164,113.965,115.291,116.167,Annual,All,sg_singstat
Bread & Cereals,99.715,100.285,101.878,102.01,102.309,102.943,104.773,108.544,112.606,115.212,117.124,119.071,Annual,All,sg_singstat
Bus & Train Fares,99.923,100.077,106.961,106.961,106.961,107.031,109.276,109.376,112.472,112.85,120.297,120.451,Annual,All,sg_singstat
Cars,99.197,100.803,98.743,104.037,111.789,120.084,138.129,153.473,159.459,167.031,160.615,164.505,Annual,All,sg_singstat
Catered Food,99.217,100.785,101.538,101.751,102.2,102.473,104.874,109.068,112.718,114.671,116.97,117.635,Annual,All,sg_singstat
Clothing,101.045,98.956,97.303,94.896,91.778,89.075,91.861,94.444,95.292,92.254,94.566,90.606,Annual,All,sg_singstat
Clothing & Footwear,101.084,98.916,97.613,94.338,91.99,88.76,91.271,94.622,96.744,93.797,95.857,92.172,Annual,All,sg_singstat
Communication,100.053,99.947,100.136,101.242,100.639,99.558,98.799,98.863,101.255,102.326,102.806,101.799,Annual,All,sg_singstat
Education,99.703,100.298,98.763,99.098,99.68,100.506,101.719,102.55,104.589,105.209,107.941,108.126,Annual,All,sg_singstat
Electricity,101.908,98.093,95.546,86.146,88.139,94.625,106.056,116.235,115.368,116.812,122.599,121.698,Annual,All,sg_singstat
Fast Food,99.567,100.433,101.233,101.487,102.266,103.479,105.03,109.051,114.062,116.336,119.674,120.314,Annual,All,sg_singstat
Fish & Seafood,99.978,100.022,101.202,100.969,101.619,102.082,106.96,106.913,113.489,111.209,110.324,106.404,Annual,All,sg_singstat
Food,99.688,100.312,101.568,102.102,102.813,103.815,106.638,110.967,114.421,115.854,117.969,118.798,Annual,All,sg_singstat
Food Courts & Coffee Shops,99.756,100.245,100.93,101.451,102.192,103.267,106.164,110.911,114.195,116.149,118.355,119.217,Annual,All,sg_singstat
Food Excl Food Serving Services,99.743,100.258,102.539,103.162,103.891,105.126,107.983,112.082,115.242,116.211,116.88,117.434,Annual,All,sg_singstat
Food Serving Services,99.662,100.339,101.103,101.594,102.296,103.186,105.993,110.432,114.028,115.683,118.491,119.451,Annual,All,sg_singstat
Footwear,101.24,98.761,98.191,91.847,91.728,86.442,88.304,93.85,98.933,95.265,96.541,93.467,Annual,All,sg_singstat
Fruits,99.467,100.533,101.473,101.948,102.901,106.132,105.442,110.077,110.769,112.8,112.111,115.531,Annual,All,sg_singstat
Gas,100.913,99.087,96.812,96.349,100.135,103.689,110.407,113.614,110.298,110.711,116.272,117.462,Annual,All,sg_singstat
Hawker Centres,99.497,100.503,101.096,102.132,102.618,103.384,106.694,111.598,114.657,116.672,119.88,121.622,Annual,All,sg_singstat
Hawker Food,99.705,100.295,100.963,101.584,102.275,103.29,106.268,111.046,114.285,116.251,118.654,119.688,Annual,All,sg_singstat
Health Care,100.306,99.695,98.055,97.868,98.58,99.417,100.088,102.32,104.541,107.087,109.298,110.206,Annual,All,sg_singstat
Health Insurance,100,100,100,100.019,103.558,106.096,106.285,107.234,109.72,110.787,113.219,117.194,Annual,All,sg_singstat
Holiday Expenses,99.968,100.032,97.714,97.303,98.019,99.485,100.124,107.493,109.841,114.765,115.684,117.023,Annual,All,sg_singstat
Hospital Services,99.597,100.403,101.048,101.317,102.127,102.823,104.053,104.334,106.344,111.097,113.456,113.901,Annual,All,sg_singstat
Household Durables,100.285,99.716,99.695,100.342,101.263,101.938,103.806,105.538,106.438,106.236,107.047,105.881,Annual,All,sg_singstat
Household Durables & Services,100.025,99.975,100.095,100.483,101.29,102.039,103.228,104.442,105.526,105.982,106.538,106.055,Annual,All,sg_singstat
Household Services & Supplies,99.806,100.194,100.433,100.603,101.313,102.125,102.739,103.515,104.755,105.768,106.108,106.202,Annual,All,sg_singstat
Housing & Utilities,100.019,99.981,99.863,99.478,100.155,102.221,105.06,108.447,110.26,112.628,114.167,116.032,Annual,All,sg_singstat
Meat,99.586,100.415,105.264,105.381,105.105,106.171,110.967,121.419,123.813,124.241,124.2,123.656,Annual,All,sg_singstat
Medicines & Health Products,100.864,99.136,98.783,98.14,98.174,98.833,98.769,100.711,100.572,101.792,102.839,102.562,Annual,All,sg_singstat
"Milk, Cheese & Eggs",99.919,100.081,101.398,101.945,102.802,103.377,107.344,110.423,114,116.272,117.034,117.036,Annual,All,sg_singstat
Miscellaneous Goods & Services,100.005,99.995,99.241,98.481,98.515,98.245,98.78,99.177,101.984,102.596,103.957,103.829,Annual,All,sg_singstat
"Newspapers, Books & Stationery",100.029,99.971,100.303,100.319,100.412,100.701,100.985,101.455,102.262,102.269,102.795,103.107,Annual,All,sg_singstat
Non-Alcoholic Beverages,99.258,100.743,102.204,104.965,104.447,106.121,108.184,112.173,114.804,118.494,118.885,121.23,Annual,All,sg_singstat
Oils & Fats,100.946,99.054,103.476,100.119,101.465,105.41,108.579,112.498,112.768,113.753,115.254,115.8,Annual,All,sg_singstat
Other Articles & Related Services,100.859,99.142,99.369,99.181,96.812,96.499,98.216,101.713,107.799,110.244,112.626,109.931,Annual,All,sg_singstat
Other Food,100.261,99.739,100.559,102.069,102.232,103.441,104.488,107.898,110.841,114,116.463,117.561,Annual,All,sg_singstat
Other Miscellaneous Services,99.995,100.005,100.05,100.056,101.22,100.062,98.003,95.158,96.464,95.523,98.075,99.018,Annual,All,sg_singstat
Other Transport Services,100.918,99.082,96.805,95.52,96.753,103.114,114.704,115.545,111.026,109.298,106.938,105.643,Annual,All,sg_singstat
Outpatient Services,100.504,99.497,95.765,95.487,95.643,96.148,96.986,100.637,103.857,106.294,108.851,109.615,Annual,All,sg_singstat
Personal Care,99.887,100.113,100.378,99.593,98.845,97.868,99.249,100.831,102.851,103.817,104.505,104.702,Annual,All,sg_singstat
