data_series,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,period,income_group,data_source
10th Decile (Highest),6508,6359,6488,6601,7004,7550,8571,9199,8945,9669,10543,11552,11198,12032,12816,12773,13215,13581,13737,13400,13626,14354,14803,15605,Annual,All,sg_singstat
1st Decile (Lowest),317,303,301,300,297,317,335,365,357,381,422,440,463,494,541,543,554,570,597,560,596,689,706,748,Annual,All,sg_singstat
2nd Decile,556,538,542,541,556,585,620,689,682,738,803,856,896,971,1040,1064,1093,1124,1179,1141,1224,1347,1421,1478,Annual,All,sg_singstat
3rd Decile,760,745,745,756,775,817,865,973,957,1036,1122,1200,1268,1353,1446,1483,1528,1583,1647,1609,1712,1864,1987,2052,Annual,All,sg_singstat
4th Decile,974,956,959,967,1003,1047,1115,1266,1242,1341,1445,1547,1633,1747,1857,1892,1958,2033,2131,2085,2211,2400,2563,2641,Annual,All,sg_singstat
5th Decile,1216,1191,1202,1198,1252,1302,1395,1581,1564,1668,1794,1917,2033,2155,2274,2339,2434,2522,2647,2603,2749,2976,3169,3280,Annual,All,sg_singstat
6th Decile,1503,1469,1486,1477,1549,1609,1727,1954,1929,2051,2207,2355,2483,2627,2780,2864,2994,3082,3250,3201,3347,3634,3857,3995,Annual,All,sg_singstat
7th Decile,1860,1818,1842,1828,1921,1991,2163,2446,2393,2540,2726,2893,3039,3217,3409,3521,3670,3804,4036,3940,4111,4447,4729,4901,Annual,All,sg_singstat
8th Decile,2353,2304,2343,2315,2437,2548,2774,3122,3042,3232,3458,3658,3837,4060,4276,4438,4629,4833,5080,4972,5144,5578,5892,6095,Annual,All,sg_singstat
9th Decile,3207,3144,3181,3177,3333,3502,3806,4270,4130,4429,4727,5004,5192,5524,5804,5958,6279,6559,6843,6712,6944,7493,7862,8182,Annual,All,sg_singstat
Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions),1925,1883,1909,1916,2013,2127,2337,2586,2524,2709,2925,3142,3204,3418,3624,3688,3835,3969,4115,4022,4166,4478,4699,4898,Annual,All,sg_singstat
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.394,0.388,0.397,0.395,0.397,0.392,0.412,0.402,0.399,0.4,0.402,0.41,0.388,0.392,0.386,0.379,0.381,0.38,0.377,0.354,0.362,0.357,0.352,0.345,Annual,All,sg_singstat
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.381,0.377,0.385,0.381,0.38,0.374,0.388,0.384,0.377,0.379,0.38,0.383,0.363,0.369,0.357,0.35,0.357,0.354,0.353,0.335,0.336,0.337,0.331,0.326,Annual,All,sg_singstat
