DataSeries,2024,2023,2022,2021,2020,2019,year,period,income_group
All Items,117.607,115.16,109.579,102.639,99.85,100,2025,Post-COVID,All
    Food,118.253,114.909,108.661,103.248,101.842,100,2025,Post-COVID,All
    Food Excl Food Serving Services,117.02,115.578,110.039,104.508,102.845,100,2025,Post-COVID,All
        Bread & Cereals,118.279,114.113,106.877,102.741,101.963,100,2025,Post-COVID,All
        Meat,123.677,123.558,115.865,105.881,105.347,100,2025,Post-COVID,All
        Fish & Seafood,108.481,112.546,106.816,100.977,100.685,100,2025,Post-COVID,All
"        Milk, Cheese & Eggs",117.124,115.175,109.087,103.736,102.286,100,2025,Post-COVID,All
        Oils & Fats,119.049,114,108.943,102.239,101.546,100,2025,Post-COVID,All
        Fruits,112.695,110.921,108.132,104.365,101.594,100,2025,Post-COVID,All
        Vegetables,120.538,118.302,116.112,110.517,105.097,100,2025,Post-COVID,All
"        Sugar, Preserves & Confectionery",114.435,113.783,108.839,105.642,104.908,100,2025,Post-COVID,All
        Non-Alcoholic Beverages,119.314,116.17,109.819,105.398,103.694,100,2025,Post-COVID,All
        Other Food,118.651,113.336,106.629,102.944,101.442,100,2025,Post-COVID,All
    Food Serving Services,118.772,114.628,108.082,102.719,101.42,100,2025,Post-COVID,All
        Restaurant Food,118.494,114.165,107.819,102.647,101.506,100,2025,Post-COVID,All
        Fast Food,120.818,115.921,107.582,103.124,101.395,100,2025,Post-COVID,All
        Hawker Food,118.952,115.146,108.55,102.785,101.296,100,2025,Post-COVID,All
            Hawker Centres,120.58,115.655,109.17,102.974,101.642,100,2025,Post-COVID,All
            Food Courts & Coffee Shops,118.557,115.023,108.4,102.739,101.211,100,2025,Post-COVID,All
        Catered Food,117.283,113.704,106.917,102.223,101.639,100.001,2025,Post-COVID,All
    Clothing & Footwear,95.232,96.177,93.864,91.205,96.331,100,2025,Post-COVID,All
        Clothing,94.152,94.936,94.117,91.34,96.52,100,2025,Post-COVID,All
        Other Articles & Related Services,111.322,109.109,100.385,96.862,99.316,100.001,2025,Post-COVID,All
        Footwear,95.011,97.314,91.341,89.317,94.92,100,2025,Post-COVID,All
    Housing & Utilities,113.768,110.181,105.782,100.923,99.889,100,2025,Post-COVID,All
        Accommodation,113.365,110.018,105.494,101.508,100.449,100,2025,Post-COVID,All
        Utilities & Other Fuels,117.84,111.831,108.69,95.012,94.224,100,2025,Post-COVID,All
            Water Supply,107.355,101.023,100,100,100,100,2025,Post-COVID,All
            Electricity,122.148,116.09,111.145,91.382,90.83,100,2025,Post-COVID,All
            Gas,116.183,109.922,111.66,102.356,97.4,100,2025,Post-COVID,All
    Household Durables & Services,106.561,105.683,103.699,101.805,100.244,100,2025,Post-COVID,All
        Household Durables,106.574,106.231,104.51,101.456,99.874,100,2025,Post-COVID,All
        Household Services & Supplies,106.554,105.384,103.254,101.996,100.446,100,2025,Post-COVID,All
    Health Care,113.684,109.237,103.217,100.684,99.397,100,2025,Post-COVID,All
        Medicines & Health Products,102.709,101.288,99.847,98.656,98.71,100,2025,Post-COVID,All
        Outpatient Services,114.89,110.439,102.324,99.12,98.341,100,2025,Post-COVID,All
        Hospital Services,117.364,112.204,106.157,103.825,102.277,100,2025,Post-COVID,All
        Health Insurance,120.699,112.58,107.371,104.959,100.009,100,2025,Post-COVID,All
